"n","seq","response_prior","eig"
22,"HHHH","ignorance",0.795564367442019
23,"TTTT","ignorance",0.800638848179568
23,"TTTH","ignorance",0.682200361195112
23,"TTHT","ignorance",0.682200361195112
23,"TTHH","ignorance",0.350485804920374
23,"THTT","ignorance",0.682200361195111
23,"THTH","ignorance",0.533136043742286
23,"THHT","ignorance",0.350485804920374
23,"THHH","ignorance",0.566623373468979
23,"HTTT","ignorance",0.566623373468979
23,"HTTH","ignorance",0.350485804920373
23,"HTHT","ignorance",0.533136043742286
23,"HTHH","ignorance",0.682200361195111
23,"HHTT","ignorance",0.350485804920373
23,"HHTH","ignorance",0.682200361195111
23,"HHHT","ignorance",0.682200361195111
23,"HHHH","ignorance",0.800638848179568
24,"TTTT","ignorance",0.805386969192397
24,"TTTH","ignorance",0.694848813282544
24,"TTHT","ignorance",0.694848813282544
24,"TTHH","ignorance",0.362719794762496
24,"THTT","ignorance",0.694848813282543
24,"THTH","ignorance",0.536845211562895
24,"THHT","ignorance",0.362719794762496
24,"THHH","ignorance",0.581610039989682
24,"HTTT","ignorance",0.581610039989683
24,"HTTH","ignorance",0.362719794762495
24,"HTHT","ignorance",0.536845211562895
24,"HTHH","ignorance",0.694848813282543
24,"HHTT","ignorance",0.362719794762495
24,"HHTH","ignorance",0.694848813282543
24,"HHHT","ignorance",0.694848813282543
24,"HHHH","ignorance",0.805386969192397
25,"TTTT","ignorance",0.809866355371284
25,"TTTH","ignorance",0.706729013526216
25,"TTHT","ignorance",0.706729013526216
25,"TTHH","ignorance",0.374342507338431
25,"THTT","ignorance",0.706729013526215
25,"THTH","ignorance",0.540270488034437
25,"THHT","ignorance",0.374342507338431
25,"THHH","ignorance",0.595809488762689
25,"HTTT","ignorance",0.59580948876269
25,"HTTH","ignorance",0.37434250733843
25,"HTHT","ignorance",0.540270488034437
25,"HTHH","ignorance",0.706729013526215
25,"HHTT","ignorance",0.37434250733843
25,"HHTH","ignorance",0.706729013526215
25,"HHHT","ignorance",0.706729013526215
25,"HHHH","ignorance",0.809866355371284
26,"TTTT","ignorance",0.814120754421699
26,"TTTH","ignorance",0.717904222684589
26,"TTHT","ignorance",0.717904222684589
26,"TTHH","ignorance",0.385379112288711
26,"THTT","ignorance",0.717904222684589
26,"THTH","ignorance",0.543431803499831
26,"THHT","ignorance",0.385379112288711
26,"THHH","ignorance",0.609276134285556
26,"HTTT","ignorance",0.609276134285556
26,"HTTH","ignorance",0.38537911228871
26,"HTHT","ignorance",0.543431803499831
26,"HTHH","ignorance",0.717904222684589
26,"HHTT","ignorance",0.38537911228871
26,"HHTH","ignorance",0.717904222684589
26,"HHHT","ignorance",0.717904222684589
26,"HHHH","ignorance",0.814120754421699
27,"TTTT","ignorance",0.81815104131801
27,"TTTH","ignorance",0.728431763353563
27,"TTHT","ignorance",0.728431763353563
27,"TTHH","ignorance",0.395856240503878
27,"THTT","ignorance",0.728431763353563
27,"THTH","ignorance",0.5463747326657
27,"THHT","ignorance",0.395856240503878
27,"THHH","ignorance",0.622060294925217
27,"HTTT","ignorance",0.622060294925217
27,"HTTH","ignorance",0.395856240503877
27,"HTHT","ignorance",0.5463747326657
27,"HTHH","ignorance",0.728431763353563
27,"HHTT","ignorance",0.395856240503877
27,"HHTH","ignorance",0.728431763353563
27,"HHHT","ignorance",0.728431763353563
27,"HHHH","ignorance",0.81815104131801
28,"TTTT","ignorance",0.821989028564478
28,"TTTH","ignorance",0.738363619185909
28,"TTHT","ignorance",0.738363619185909
28,"TTHH","ignorance",0.405801251089303
28,"THTT","ignorance",0.738363619185908
28,"THTH","ignorance",0.549118652275079
28,"THHT","ignorance",0.405801251089303
28,"THHH","ignorance",0.634208393266723
28,"HTTT","ignorance",0.634208393266723
28,"HTTH","ignorance",0.405801251089303
28,"HTHT","ignorance",0.549118652275079
28,"HTHH","ignorance",0.738363619185908
28,"HHTT","ignorance",0.405801251089303
28,"HHTH","ignorance",0.738363619185908
28,"HHHT","ignorance",0.738363619185908
28,"HHHH","ignorance",0.821989028564477
29,"TTTT","ignorance",0.825672591489213
29,"TTTH","ignorance",0.747746969626981
29,"TTHT","ignorance",0.747746969626981
29,"TTHH","ignorance",0.415241659932005
29,"THTT","ignorance",0.74774696962698
29,"THTH","ignorance",0.551669766836006
29,"THHT","ignorance",0.415241659932005
29,"THHH","ignorance",0.645763196104294
29,"HTTT","ignorance",0.645763196104294
29,"HTTH","ignorance",0.415241659932004
29,"HTHT","ignorance",0.551669766836006
29,"HTHH","ignorance",0.74774696962698
29,"HHTT","ignorance",0.415241659932004
29,"HHTH","ignorance",0.74774696962698
29,"HHHT","ignorance",0.74774696962698
29,"HHHH","ignorance",0.825672591489213
30,"TTTT","ignorance",0.82919845509287
30,"TTTH","ignorance",0.756624667737807
30,"TTHT","ignorance",0.756624667737807
30,"TTHH","ignorance",0.424204702802892
30,"THTT","ignorance",0.756624667737806
30,"THTH","ignorance",0.554060632808884
30,"THHT","ignorance",0.424204702802892
30,"THHH","ignorance",0.656764072353693
